Title,Author,ISBN,Publisher,Year,Genre,Pages,Shelf Location,Cover URL,Summary,Google VolumeID,Loaned To,Notes
Educational Research,John W. Creswell,9780131367395,Pearson,2012,Education,650,2.4,"https://m.media-amazon.com/images/I/51M3vQLC27L._AC_UF1000,1000_QL80_.jpg","""In this update of the 2008, 2005, and 2002 editions, Creswell (U. of Nebraska-Lincoln) provides clear coverage of all the phases of the main quantitative and qualitative approaches in educational research: from identifying a problem that defines the goal of research to reporting and evaluating research. A new feature on ethical dilemmas is part of the greater emphasis on ethical issues. The text includes useful tips for producers and consumers of research, new sample articles from journals, chapter study questions with an answer key, statistical appendices, additional resources, updated references, and access to an online study resource.""--Provided by publisher.",4PywcQAACAAJ,,
Effective Tcl/Tk Programming,"Mark Harrison,Michael McLennan",9780201634747,Addison-Wesley,1998,Computers,405,2.5,,"You need a graphical user interface, and it needs to run on multiple platforms. You don't have much time, and you're not a wizard with X/Motif, the Win32 GUI, or the Mac GUI. The project seems impossible, but with Tcl/Tk it's simple and fun.  The Tcl scripting language and the Tk toolkit create a powerful programming environment for building graphical user interfaces. With two lines of code you can create a simple button; with two hundred lines of code, a desktop calculator; and with a thousand lines of code, an industrial-strength groupware calendar and appointment minder. Your applications run on all of the major platforms: UNIX, Windows 95/NT, and Macintosh. You can even embed your programs in a Web page to make them available online.  Mark Harrison and Michael McLennan, two noted Tcl/Tk experts, combine their extensive experience in this practical programming guide. It is ideal for developers who are acquainted with the basics of Tcl/Tk and are now moving on to build real applications.  Effective Tcl/Tk Programming shows you how to build Tcl/Tk applications effectively and efficiently through plenty of real-world advice. It clarifies some of the more powerful aspects of Tcl/Tk, such as the packer, the canvas widget, and binding tags. The authors describe valuable design strategies and coding techniques that will make your Tcl/Tk projects successful. You will learn how to:   Create interactive displays with the canvas widget   Create customized editors with the text widget  Create new geometry managers, like tabbed notebooks or paned windows  Implement client/server architectures   Handle data structures   Interface with existing applications  Package Tcl/Tk code into reusable libraries   Deliver Tcl/Tk applications that are easy to configure and install   Embed applications in a Web page   Build applications that will run on multiple platforms    Throughout the book, the authors develop numerous applications and a library of reusable components. Learn from th...",tI4t3lWeQmkC,,Cover image available via Google Books
Electrical Engineering,Allan R. Hambley,9780558905217,Pearson Learning Solutions,2011,,378,2.5,,,kTcctwAACAAJ,,Genre not classified; Summary available via Google Books; Cover image available via Google Books
Electrical Engineering Reference Manual,Raymond B. Yarbrough,9780912045108,Professional Publications,1990,Technology & Engineering,530,2.10,"https://m.media-amazon.com/images/I/51R0MXT6EJL._AC_UF1000,1000_QL80_.jpg","Professor Yarbrough has designed his Electrical Engineering Reference Manual to be a single reference for the broad field of electrical engineering, giving electrical engineering PE applicants the best exam review possible. Using tables, figures, and problem-solving techniques, this manual thoroughly covers every exam subject, including operational amplifier circuits and systems of units. It contains more than 400 practice problems, and fully worked-out solutions are found in the separate Solutions Manual.",guUeAQAAIAAJ,,Duplicate ISBN - verify edition; Possible duplicate entry
Electrical Engineering Reference Manual,Raymond B. Yarbrough,9780912045108,Professional Publications,1990,Technology & Engineering,530,2.10,"https://m.media-amazon.com/images/I/51R0MXT6EJL._AC_UF1000,1000_QL80_.jpg","Professor Yarbrough has designed his Electrical Engineering Reference Manual to be a single reference for the broad field of electrical engineering, giving electrical engineering PE applicants the best exam review possible. Using tables, figures, and problem-solving techniques, this manual thoroughly covers every exam subject, including operational amplifier circuits and systems of units. It contains more than 400 practice problems, and fully worked-out solutions are found in the separate Solutions Manual.",guUeAQAAIAAJ,,Duplicate ISBN - verify edition; Possible duplicate entry
Electromagnetic Concepts and Applications,Gabriel G. Skitek,9780132489638,Prentice-Hall,1982,Science,510,2.10,,,J7PvAAAAMAAJ,,Summary available via Google Books; Cover image available via Google Books
Electromagnetics,John D. Kraus,9780071126663,McGraw-Hill,1992,Science,847,2.11,"https://m.media-amazon.com/images/I/51YuqHtAOjL._AC_UF1000,1000_QL80_.jpg",,Vu9HPgAACAAJ,,Summary available via Google Books
Electronic Art and Animation Catalog,Joan Truckenbrod,9781581130454,Association for Computing Machinery,1998,Computer science,210,2.5,https://history.siggraph.org/wp-content/uploads/2018/03/1982_Truckenbrod_PhaseTransitions.jpg,,HbVRAAAAMAAJ,,Summary available via Google Books
Electronic Circuits,"Jim Fry,Heathkit/Zenith Educational Systems (Group)",N/A,Health Company,1986,Electronic circuits,322,2.10,,,GhVlPAAACAAJ,,Missing ISBN; Summary available via Google Books; Cover image available via Google Books
Electronic Circuits Manual,John Markus,9780070404441,McGraw-Hill,1971,Technology & Engineering,988,2.13,https://s3.amazonaws.com/kimicoapps-bookbuddy/13FE8EE9-DC79-4A60-AB83-A4CAA37929D0,,3BwoAQAAMAAJ,,Summary available via Google Books
Electronic Principles,Albert Malvino,9780028028330,"McGraw-Hill Companies,Incorporated",1998,Technology & Engineering,1012,2.10,,"The new edition of Electronic Principles provides the clearest, most complete coverage for use in courses such as Electronic Devices, Linear Electronics, and Electronic Circuits.  It's been updated to keep coverage in step with the fast-changing world of electronics. Yet, it retains Malvino's clear writing style, supported throughout by abundant illustrations and examples.",ZoC8QgAACAAJ,,Cover image available via Google Books
Electronics Data Book,Radio Shack,N/A,Radio Shack,1972,Electrical engineering,111,2.1,https://s3.amazonaws.com/kimicoapps-bookbuddy/21041A2D-ABEB-43CE-AAA9-00666790447A,,foelGAAACAAJ,,Missing ISBN; Summary available via Google Books
Electronics Equations Handbook,Stephen J. Erst,9780830692415,TAB Books,1989,Technology & Engineering,245,2.10,"https://m.media-amazon.com/images/I/51MY0VN4XXL._AC_UF1000,1000_QL80_.jpg",,AzkjAAAAMAAJ,,Summary available via Google Books
Elementary Differential Equations,"William E. Boyce,Douglas B. Meade,Richard C. DiPrima",9781119443636,John Wiley & Sons,2017,Mathematics,512,2.4,,"With Wiley's Enhanced E-Text, you get all the benefits of a downloadable, reflowable eBook with added resources to make your study time more effective, including:  Embedded & searchable equations, figures & tables Math XML Index with linked pages numbers for easy reference Redrawn full color figures to allow for easier identification  Elementary Differential Equations, 11th Edition is written from the viewpoint of the applied mathematician, whose interest in differential equations may sometimes be quite theoretical, sometimes intensely practical, and often somewhere in between. The authors have sought to combine a sound and accurate (but not abstract) exposition of the elementary theory of differential equations with considerable material on methods of solution, analysis, and approximation that have proved useful in a wide variety of applications. While the general structure of the book remains unchanged, some notable changes have been made to improve the clarity and readability of basic material about differential equations and their applications. In addition to expanded explanations, the 11th edition includes new problems, updated figures and examples to help motivate students. The program is primarily intended for undergraduate students of mathematics, science, or engineering, who typically take a course on differential equations during their first or second year of study. The main prerequisite for engaging with the program is a working knowledge of calculus, gained from a normal two ] or three ] semester course sequence or its equivalent. Some familiarity with matrices will also be helpful in the chapters on systems of differential equations.",WSaVDwAAQBAJ,,Cover image available via Google Books
Elementary Differential Equations and Boundary Value Problems,"William E. Boyce,Douglas B. Meade,Richard C. DiPrima",9781119443766,John Wiley & Sons,2017,Mathematics,624,2.4,,"Elementary Differential Equations and Boundary Value Problems 11e, like its predecessors, is written from the viewpoint of the applied mathematician, whose interest in differential equations may sometimes be quite theoretical, sometimes intensely practical, and often somewhere in between. The authors have sought to combine a sound and accurate (but not abstract) exposition of the elementary theory of differential equations with considerable material on methods of solution, analysis, and approximation that have proved useful in a wide variety of applications. While the general structure of the book remains unchanged, some notable changes have been made to improve the clarity and readability of basic material about differential equations and their applications. In addition to expanded explanations, the 11th edition includes new problems, updated figures and examples to help motivate students. The program is primarily intended for undergraduate students of mathematics, science, or engineering, who typically take a course on differential equations during their first or second year of study. The main prerequisite for engaging with the program is a working knowledge of calculus, gained from a normal two or three semester course sequence or its equivalent. Some familiarity with matrices will also be helpful in the chapters on systems of differential equations.",SyaVDwAAQBAJ,,Duplicate ISBN - verify edition; Cover image available via Google Books
Elementary Differential Equations and Boundary Value Problems,"William E. Boyce,Richard C. DiPrima",9781119443766,John Wiley & Sons,2017,Mathematics,624,2.5,"https://m.media-amazon.com/images/I/41JnJ1aG3HL._AC_UF1000,1000_QL80_.jpg","Elementary Differential Equations and Boundary Value Problems 11e, like its predecessors, is written from the viewpoint of the applied mathematician, whose interest in differential equations may sometimes be quite theoretical, sometimes intensely practical, and often somewhere in between. The authors have sought to combine a sound and accurate (but not abstract) exposition of the elementary theory of differential equations with considerable material on methods of solution, analysis, and approximation that have proved useful in a wide variety of applications. While the general structure of the book remains unchanged, some notable changes have been made to improve the clarity and readability of basic material about differential equations and their applications. In addition to expanded explanations, the 11th edition includes new problems, updated figures and examples to help motivate students. The program is primarily intended for undergraduate students of mathematics, science, or engineering, who typically take a course on differential equations during their first or second year of study. The main prerequisite for engaging with the program is a working knowledge of calculus, gained from a normal two or three semester course sequence or its equivalent. Some familiarity with matrices will also be helpful in the chapters on systems of differential equations.",SyaVDwAAQBAJ,,Duplicate ISBN - verify edition
Elementary Differential Equations with Linear Algebra,David L. Powers,9780871509574,Brooks/Cole,1986,Mathematics,573,2.4,"https://m.media-amazon.com/images/I/51HSbOTlZjL._AC_UF1000,1000_QL80_.jpg",,gQev46-ymXgC,,Summary available via Google Books
"Elementary Linear Algebra, with Applications",W. Keith Nicholson,9780871509024,Brooks/Cole,1986,Mathematics,557,2.4,,,Ouy1pukKBHkC,,Summary available via Google Books; Cover image available via Google Books
Elementary Number Theory,Charles Vanden Eynden,9781478639152,Waveland Press,2006,,278,2.4,"https://m.media-amazon.com/images/I/A19cGU7-8vL._AC_UF1000,1000_QL80_.jpg","This practical and versatile text evolved from the author’s years of  teaching experience and the input of his students. Vanden Eynden strives  to alleviate the anxiety that many students experience when approaching  any proof-oriented area of mathematics, including number theory. His  informal yet straightforward writing style explains the ideas behind the  process of proof construction, showing that mathematicians develop  theorems and proofs from trial and error and evolutionary improvement,  not spontaneous insight. Furthermore, the book includes more  computational problems than most other number theory texts to build  students’ familiarity and confidence with the theory behind the  material. The author has devised the content, organization, and writing  style so that information is accessible, students can gain  self-confidence with respect to mathematics, and the book can be used in  a wide range of courses—from those that emphasize history and type A  problems to those that are proof oriented.",JGKLDwAAQBAJ,,Genre not classified
Elementary Numerical Computing with Mathematica,"Robert D. Skeel,Jerry B. Keiper",9780070578203,McGraw-Hill,1993,Computers,434,2.6,"https://m.media-amazon.com/images/I/91gYXKoowIL._AC_UF1000,1000_QL80_.jpg",Mathematics of Computing -- Numerical Analysis.,ndleT4pp9PQC,,
Elementary Principles of Chemical Processes,"Richard M. Felder,Ronald W. Rousseau",9780471873242,Wiley,1986,Technology & Engineering,688,2.5,https://i.ebayimg.com/images/g/CXIAAOSwW~VjD8uU/s-l1200.jpg,"This introduction to chemical processes lays the foundation for a chemical engineering curriculum. It shows beginning students how to apply engineering techniques to the solution of process-related problems by breaking each problem down into individual component parts, defining the relationships between them, and reuniting them in a single solution. Providing detailed practical examples with every problem, and self-test questions at the end of each chapter, it uses predominantly SI units in its coverage of theoretical components of an engineering calculation, processes and process variables, fundamentals of material balances, single and multiphase systems, energy and energy balances, balances on nonreactive processes, and more.",pqVTAAAAMAAJ,,
Elementary Statistics,"Allan G. Bluman,Gerry Moultine",9780072431711,McGraw-Hill Higher Education,2000,Mathematics,243,1.1,,,Evph_hizzpIC,,Summary available via Google Books; Cover image available via Google Books
Eleventh Hour CISSP®,"Joshua Feldman,Eric Conrad,Seth Misenar",9780128113776,Syngress,2016,Business & Economics,238,2.8,,"Eleventh Hour CISSP: Study Guide, Third Edition provides readers with a study guide on the most current version of the Certified Information Systems Security Professional exam. This book is streamlined to include only core certification information, and is presented for ease of last-minute studying. Main objectives of the exam are covered concisely with key concepts highlighted. The CISSP certification is the most prestigious, globally-recognized, vendor neutral exam for information security professionals. Over 100,000 professionals are certified worldwide, with many more joining their ranks. This new third edition is aligned to cover all of the material in the most current version of the exam's Common Body of Knowledge. All domains are covered as completely and concisely as possible, giving users the best possible chance of acing the exam. - Completely updated for the most current version of the exam's Common Body of Knowledge - Provides the only guide you need for last-minute studying - Answers the toughest questions and highlights core topics - Streamlined for maximum efficiency of study, making it ideal for professionals updating their certification or for those taking the test for the first time",WZo5DAAAQBAJ,,Cover image available via Google Books
Ember.js Web Development with Ember CLI,Suchit Puri,9781784395841,Packt Publishing,2015,Computers,174,2.12,,"If you are a JavaScript developer who is starting out to build ambitious Ember.js application, or a developer who has prior Ember.js experience and want to transition your application to the latest Ember.js version with Ember CLI, then this book is for you.",g-rOsgEACAAJ,,Cover image available via Google Books
Encyclopedia of Electronic Circuits,"Leo G. Sands,Donald R. Mackenroth",9780132754040,Parker Publishing Company,1975,Technology & Engineering,288,2.2,https://pictures.abebooks.com/inventory/10300036926.jpg,,sAZTAAAAMAAJ,,Summary available via Google Books
Encyclopedia of Electronic Circuits,Rudolf F. Graf,9780070161160,TAB Books,1988,Electronic circuits,755,2.10,"https://m.media-amazon.com/images/I/51G6jdyFgrL._AC_UF1000,1000_QL80_.jpg",,DSydzgEACAAJ,,Summary available via Google Books
Encyclopedia of Electronic Circuits Volume 6,"Rudolf F. Graf,William Sheets",9780070112766,McGraw-Hill,1996,Electric circuits,789,2.10,,"Contains more than 1,000 of the electronic and integrated circuits. This book includes circuit drawings developed from late 1992 through early 1995. Arranged alphabetically by circuit type, it offers an index to all six volumes of the Encyclopedia of Electronic Circuits.",zQ3swAEACAAJ,,Cover image available via Google Books
"Encyclopedia of Electronic Circuits, Volume 7","William Sheets,Rudolf F. Graf",9780070151161,McGraw-Hill Education,1999,Technology & Engineering,1128,2.10,"https://m.media-amazon.com/images/I/61ga8MA9waL._AC_UF1000,1000_QL80_.jpg","Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.",fAe0SJ8GxYwC,,
Engineer's Notebook,Forrest M. Mims,N/A,Radio Shack,1980,Integrated circuits,128,2.7,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1702074260i/20951200.jpg,,MAZNtwAACAAJ,,Missing ISBN; Summary available via Google Books
Engineering Fluid Mechanics,"John A. Roberson,Clayton T. Crowe",9780471124740,Wiley,1993,Science,848,2.5,,"Retaining the extremely student-friendly format that has made this textbook a popular classic, the authors have changed their latest edition by adding new subject matter on critical flow and hydraulic jump in channels of non-rectangular cross section; spillways; flow in streams at flood stage and flow resistance in rock-bedded streams. Includes expanded material on flow in culverts, sewers and pipe networks; water surface profiles and flow over broad-crested weirs. Contains 88 fresh problems and 177 revised problems.",So2sQgAACAAJ,,Cover image available via Google Books
Engineering Mechanics,"James L. Meriam,L. G. Kraige",9780470614815,John Wiley & Sons,2012,Science,723,2.7,https://redshelf-images.s3-external-1.amazonaws.com/cover_image/9781119032298.jpg,"Known for its accuracy, clarity, and dependability, Meriam & Kraige's Engineering Mechanics: Dynamics has provided a solid foundation of mechanics principles for more than 60 years. Now in its seventh edition, the text continues to help students develop their problem-solving skills with an extensive variety of engaging problems related to engineering design. More than 50% of the homework problems are new, and there are also a number of new sample problems. To help students build necessary visualization and problem-solving skills, the text strongly emphasizes drawing free-body diagrams-the most important skill needed to solve mechanics problems.",Lvr61msQz2oC,,
Engineering Mechanics : Statics and Dynamics,Russell C. Hibbeler,N/A,Macmillan,1974,,,2.5,,,7M2FtAEACAAJ,,Missing ISBN; Genre not classified; Summary available via Google Books; Cover image available via Google Books
Engineering Mechanics: Statics,James L. Meriam,9780471602071,Wiley,1987,"Mechanics, Applied",454,2.7,"https://m.media-amazon.com/images/I/719SQu3MCZL._AC_UF1000,1000_QL80_.jpg",,DmpWvgAACAAJ,,Summary available via Google Books
Enhanced Oil Recovery,Larry W. Lake,9780132816014,Prentice Hall,1989,Technology & Engineering,550,2.6,"https://m.media-amazon.com/images/I/71rf2L4f1SL._AC_UF1000,1000_QL80_.jpg",,nm5MAQAAIAAJ,,Summary available via Google Books
Essential Mobile Interaction Design,"Cameron Banga,Josh Weinhold",9780321961570,Pearson Education,2014,Computers,275,2.7,,"Design User-Friendly, Intuitive Smartphone and Tablet Apps for Any Platform    Mobile apps should feel natural and intuitive, and users should understand them quickly and easily. This means that effective interaction and interface design is crucial. However, few mobile app developers (or even designers) have had adequate training in these areas.  Essential Mobile Interaction Design  fills this gap, bringing together proven principles and techniques you can use in your next app-for any platform, target device, or user.  This tutorial requires virtually no design or programming knowledge. Even if you've never designed a mobile app before, this guide teaches you the key skills that lead to the best results. Cameron Banga and Josh Weinhold help you master the mindset, processes, and vocabulary of mobile interaction design, so you can start making better choices right away. They guide you through the entire design process, demystifying issues that arise at every stage.  The authors share hard-won lessons from years of experience developing more than one hundred mobile apps for clients and customers of every type. They cover important issues that platform-specific guides often overlook, including internationalization, accessibility, hybrid apps, sandboxing, and what to do after release.  This guide shows you how to   Think through your designs, instead of just throwing together UI elements  Allow an intuitive design flow to emerge from your app  Sketch and wireframe apps more effectively  Reflect key differences among smartphones, tablets, and desktops  Design for visual appeal without compromising usability  Work effectively with programmers  Make sure your apps are accessible to everyone  Get usable feedback, and understand what it's telling you  Learn valuable lessons from today's most successful apps  Refresh your designs in new apps and future versions  Discover new tools for designing more successfully   Packed with iOS and Android(TM) examples,  Essential Mobile...",dbA_AwAAQBAJ,,Cover image available via Google Books
Essential SNMP,"Douglas R. Mauro,Kevin J. Schmidt,Kevin James Schmidt",9780596000202,"""O'Reilly Media, Inc.""",2001,Computers,313,2.13,,"The Simple Network Management Protocol (SNMP) is an Internet-standard protocol for managing hosts on an IP network. Devices that typically support SNMP include routers, switches, servers, workstations, printers, modem racks, UPSs, and more. Essential SNMP is a practical introduction to SNMP for network and system administrators. It starts with the basics of SNMP and how it works, along with the technical background to use it effectively. The book covers OIDs, MIBs, community strings, traps, and other technical elements. But the main focus is on practical network administration: how to configure SNMP agents and network management stations, how to use SNMP to retrieve and modify variables on network devices, how to configure management software to react to traps sent by managed devices. Essential SNMP explores both commercial and open source packages, including HP's OpenView, Castle Rock's SNMPc, the Net-SNMP tools, Simon Leinen's Perl SNMP support, and MRTG. Administrators will come away with ideas for writing scripts to help them manage their networks, create managed objects, and extend the operation of SNMP agents. In addition to SNMPv1 and v2, the book covers SNMPv3, which has just started to appear in commercial products as of this printing.",sT4PTu1TwHgC,,Cover image available via Google Books
Essentials of Heat Transfer,Massoud Kaviany,9781107012400,Cambridge University Press,2011,Science,722,2.4,,"This textbook teaches students the principles, materials, and applications they need to understand and analyze heat transfer problems they will encounter in practice. The emphasis on modern practical problems (including thermoelectric cooling), in the numerous examples, sets this work apart from other available works. The approach is to discuss heat transfer problems (in search of innovative and optimal solutions) and the engineering analysis, to motivate fundamental principles and analytical problem solving methods. By introducing heat flux tracking, the students develop intuition about the central role of heat transfer in engineered systems. The energy conversion mechanisms (to and from thermal energy) are integrated into the treatment, thus allowing for realistic design of thermal systems. Note that microscale heat carriers are also covered. Those familiar with the first version of this book from another publisher will notice that this volume is shorter and the generic problem solving engine was replaced by MATLAB software. The rich materials removed from the print version are available on the web site, www.cambridge.org/kaviany. A complete solutions manual for the numerous exercises is available to qualified instructors.",sJ-YrFl2JI8C,,Cover image available via Google Books
"Essentials of Programming Languages, third edition","Daniel P. Friedman,Mitchell Wand",9780262062794,MIT Press,2008,Computers,432,2.5,,"A new edition of a textbook that provides students with a deep, working understanding of the essential concepts of programming languages, completely revised, with significant new material.This book provides students with a deep, working understanding of the essential concepts of programming languages. Most of these essentials relate to the semantics, or meaning, of program elements, and the text uses interpreters (short programs that directly analyze an abstract representation of the program text) to express the semantics of many essential language elements in a way that is both clear and executable. The approach is both analytical and hands-on. The book provides views of programming languages using widely varying levels of abstraction, maintaining a clear connection between the high-level and low-level views. Exercises are a vital part of the text and are scattered throughout; the text explains the key concepts, and the exercises explore alternative designs and other issues. The complete Scheme code for all the interpreters and analyzers in the book can be found online through The MIT Press web site. For this new edition, each chapter has been revised and many new exercises have been added. Significant additions have been made to the text, including completely new chapters on modules and continuation-passing style. Essentials of Programming Languages can be used for both graduate and undergraduate courses, and for continuing education courses for programmers.",FZD6AQAAQBAJ,,Cover image available via Google Books
Essentials of Statistics,Mario Triola,9780137466139,Pearson Education,2022,,,2.4,,"For courses in Introductory Statistics. Statistics for technology, careers and life Essentials of Statistics helps students of all majors understand the role of statistics in our world. Data science is growing exponentially, and statistics is essential to careers from phys ed to law, business and more. From vaccine trials to elections and self-driving cars, statistics shapes our lives. The 7th Edition uses the latest and best methods of professional statisticians. It presents topics used in data science and many other applications, with the very large data sets now common in current culture. It includes new and interesting exercises, examples, data sets and Chapter Problems, and much more. Hallmark features of this title Real data  More than 90% of all examples, exercises, and problems use real data. Data sets increase statistical literacy. Larger data sets in the 7th Edition provide experience that aligns with what students are likely to do in future careers. Emphasis on interpreting results rather than just obtaining answers helps students develop statistical literacy and arrive at practical conclusions. Worked examples model this approach.  Application and interpretation  Your Turn feature in many examples directs students to a relevant exercise so they can immediately apply what they've learned. Flowcharts throughout simplify and clarify complex concepts and procedures. The optional print Student Workbook offers additional examples, concept exercises, and vocabulary exercises for each chapter.  New and updated features of this title  New content: Approximately 65% of Exercises, 57% of Examples and 100% of Chapter Problems are new to the 7th Edition. New Data Sets in Appendix B: Data sets are expanded from 32 data sets to 46, with 20 sets that are new (such as Internet Traffic, Queues, Commute Times, Candies, Taxis, Car Data and Disney World Wait Times). Significantly larger data sets in the 7th Edition are essential as students enter the age of big data and d...",uM5GzwEACAAJ,,Genre not classified; Cover image available via Google Books
Eudora 4.2 for Windows & Macintosh,Adam C. Engst,9780201353891,Peachpit Press,1999,Computers,254,2.5,,"In just a few short years, email has gone from the domain of the technological avant-garde to a mainstay of business and personal communication. The leader in this competitive market is Qualcomms Eudora. Whether you use the free, downloadable Light version, or the more feature-complete Eudora Pro, Eudora 4.2 for Windows and Macintosh: Visual QuickStart Guide is the easiest, most accessible way to learn this flexible cross-platform app. Though fully updated and revised, this edition sticks to the popular Visual QuickStart format: concise, step-by-step instructions, plenty of screenshots, and clearly tabbed, easy-to-browse sections. Beginners can start with basic but essential tasks, like writing and sending email messages. If youre familiar with the program, you can use the book to quickly refer to the new features and more advanced topics, such as customizing Eudora and working with attachments, filters, and address books. If you have Eudora 4.3, youll find this guide very useful. Though it doesnt cover 4.3 specifically, there are very few entirely new additions in this upgrade. Platform: MAC WIN",Y1-mIcbVqDUC,,Cover image available via Google Books
Exceptional C++,Herb Sutter,9780201615623,Addison-Wesley Professional,1999,Computers,208,2.12,,"Exceptional C++ shows by example how to go about sound software engineering in standard C++. Do you enjoy solving thorny C++ problems and puzzles? Do you relish writing robust and extensible code? Then take a few minutes and challenge yourself with some tough C++ design and programming problems.   The puzzles and problems in Exceptional C++ not only entertain, they will help you hone your skills to become the sharpest C++ programmer you can be. Many of these problems are culled from the famous Guru of the Week feature of the Internet newsgroup comp.lang.c++.moderated, expanded and updated to conform to the official ISO/ANSI C++ Standard.   Each problem is rated according to difficulty and is designed to illustrate subtle programming mistakes or design considerations. After you've had a chance to attempt a solution yourself, the book then dissects the code, illustrates what went wrong, and shows how the problem can be fixed. Covering a broad range of C++ topics, the problems and solutions address critical issues such as:   Generic programming and how to write reusable templates  Exception safety issues and techniques  Robust class design and inheritance  Compiler firewalls and the Pimpl Idiom  Name lookup, namespaces, and the Interface Principle  Memory management issues and techniques  Traps, pitfalls, and anti-idioms  Optimization     Try your skills against the C++ masters and come away with the insight and experience to create more efficient, effective, robust, and portable C++ code.   0201615622B04062001",mT7E5gDuW_4C,,Cover image available via Google Books
Experiments for the Electric Circuits Laboratory,"William E. Long,Albert Paul Malvino",9780882752501,R. E. Krieger Publishing Company,1974,Technology & Engineering,165,2.1,https://s3.amazonaws.com/kimicoapps-bookbuddy/A9AB81F6-CE13-49AF-AC02-B40CD5C43039,,OwEjuQAACAAJ,,Summary available via Google Books
Explorer's Guide to the Semantic Web,Thomas B. Passin,9781932394207,Manning,2004,Computers,281,2.2,,"A complex series of extensions to the World Wide Web, the Semantic Web's purpose is to make data and services far more accessible to computers and far more useful for people than the web we know today. Written for developers and programmers, this guide seeks to acquaint these users with the basic technologies and their interrelations that will be likely to play key roles in the Semantic Web. Covered are key technology areas such as knowledge modeling (RDF, Topic Maps), agents (DAML, FIPA), and Trust and Authentication. A basic conceptual approach is taken so that developers and programmers with a wide range of backgrounds and interests come to understand the essential nature of these areas, how they work, and something about some specific technologies that are being used or proposed. Important points are illustrated with diagrams and code fragments to help develop a familiarity with these Semantic Web initiatives.",jGbHwAEACAAJ,,Cover image available via Google Books
Exploring Expect,Don Libes,9781565920903,"""O'Reilly Media, Inc.""",1995,Computers,566,2.13,,"Expect is quickly becoming a part of every UNIX user's toolbox. It allows you to automate Telnet, FTP, passwd, rlogin, and hundreds of other applications that normally require human interaction. Using Expect to automate these applications will allow you to speed up tasks and, in many cases, solve new problems that you never would have even considered before. For example, you can use Expect to test interactive programs with no changes to their interfaces. Or wrap interactive programs with Motif-like front-ends to control applications by buttons, scrollbars, and other graphic elements with no recompilation of the original programs. You don't even need the source code! Expect works with remote applications, too. Use it to tie together Internet applications including Telnet, Archie, FTP, Gopher, and Mosaic. Don Libes is the creator of Expect as well as the author of this book. In Exploring Expect, he provides a comprehensive tutorial on all of Expect's features, allowing you to put it immediately to work on your problems. In a down-to-earth and humorous style, he provides numerous examples of challenging real-world applications and how they can be automated using Expect to save you time and money. Expect is the first of a new breed of programs based on Tcl, the Tool Command Language that is rocking the computer science community. This book provides an introduction to Tcl and describes how Expect applies Tcl's power to the new field of interaction automation. Whether your interest is in Expect or interaction automation or you simply want to learn about Tcl and see how it has been used in real software, you will find Exploring Expect a treasure trove of easy-to-understand and valuable information.",Jk2bAgAAQBAJ,,Cover image available via Google Books
"Exploring Psychology, Sixth Edition in Modules (Spiral)",David G. Myers,9780716763857,Macmillan,2004,Psychology,704,1.1,,,rgxKBy-MuOcC,,Summary available via Google Books; Cover image available via Google Books
Exploring the Internet,Carl Malamud,9781892628015,Lulu.com,2017,Computers,430,2.12,"https://m.media-amazon.com/images/I/71thx0mzuXL._UF1000,1000_QL80_.jpg","Exploring the Internet is a technical travelogue, chronicling 3 trips around the world during the early days of the Internet. The author visits the people creating the emerging global network, and uses the trip to help liberate key technical standards that govern the use of the underlying telephone network. "" A] consistent ... strategy of terrorism"" - The General Assembly of Georgia and the State of Georgia ""Malamud is one crazy Gaijin "" - Professor Jun Murai, Keio University (Hardcover Edition, 25th Anniversary Reissue.)",ExklDwAAQBAJ,,
Extranet Design and Implementation,Peter Loshin,9780782120912,SYBEX Network Press,1997,Computers,438,2.5,"https://m.media-amazon.com/images/I/71DKVQAQJYL._AC_UF1000,1000_QL80_.gif","Extranets---external intranets---form the next wave in TCP/IP internetworking. By setting up an extranet, a company can allow customers to connect via the Web to information stored within the firewall, on the company's internal intranet---while maintaining security on the sensitive information within the firewall. This book discusses how to design and implement extranets, and how to secure them against threats.",JAMoAQAAMAAJ,,
Factory Towns of South China 華南工廠城,Stefan Al,9789888083695,Hong Kong University Press,2012,Social Science,216,2.9,,"Most consumer products come primarily from the Pearl River Delta, the ""factory of the world"" with the largest industrial region on earth. The delta has attracted millions of poor rural residents to settle in factory towns in hopes for a better life. Factory Towns of South China opens a window on these walled compounds, exposing the gritty establishments, crowded dormitories and monotonous labor carried out by workers. Some function as self-contained cities, with their own fire brigade, hospital, bank, TV station and as many as half a million workers living within the compounds. Other factories are scattered in larger villages to mask their existence and evade governmental crackdowns on the production of fake consumer goods and illegal casino machines.  Contributors include David Bray, Minnie Chan, Jia-Ching Chen, Paul Chu Hoi Shan, Eli Friedman, Claudia Juhre, Laurence Liauw, Paul Lin, Ting Shi, Casey Wang, Rex Wong, and Chun Yang.  Stefan Al is director of the Urban Design Program at the University of Hong Kong.",4AwzPqP4CjEC,,Cover image available via Google Books
